Wholesaler States,Wholesalers,Wholesaler ID,PDCNs,PDCN Code,Current On Hand in Units,Daily Rate of Sales,Days on Hand
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,104,2.066667,50.322581
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,46,1.666667,27.6
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,27,0.116667,231.428571
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,23,0.15,153.333333
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,11,0.4,27.5
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,10,0.05,200
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,6,0.166667,36
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,3,0.15,20
GA,"A B BEVERAGE CO INC, GA",91006,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,56,0.8,70
GA,"A B BEVERAGE CO INC, GA",91006,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,56,0.466667,120
GA,"A B BEVERAGE CO INC, GA",91006,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,45,0.383333,117.391304
GA,"A B BEVERAGE CO INC, GA",91006,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,33,1.516667,21.758242
GA,"A B BEVERAGE CO INC, GA",91006,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,26,0.6,43.333333
GA,"A B BEVERAGE CO INC, GA",91006,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,22,0.383333,57.391304
GA,"A B BEVERAGE CO INC, GA",91006,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,6,0.066667,90
GA,"A B BEVERAGE CO INC, GA",91006,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,2,0,120
GA,"A B BEVERAGE CO INC, GA",91006,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,2,0.05,40
GA,"A B BEVERAGE CO INC, GA",91006,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,1,0.116667,8.571429
GA,"A B BEVERAGE CO INC, GA",91006,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,1,0,60
GA,"A B BEVERAGE CO INC, GA",91006,WW FREAK OF NAT 9% 1/2 BARREL SV,105I940,0,0.05,0
GA,"LEON FARMER & COMPANY, GA",71008,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,82,2.033333,40.327869
GA,"LEON FARMER & COMPANY, GA",71008,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,28,0,1680
GA,"LEON FARMER & COMPANY, GA",71008,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,25,0.966667,25.862069
GA,"LEON FARMER & COMPANY, GA",71008,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,20,0.966667,20.689655
GA,"LEON FARMER & COMPANY, GA",71008,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,12,0.633333,18.947368
GA,"LEON FARMER & COMPANY, GA",71008,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,9,0.583333,15.428571
GA,"LEON FARMER & COMPANY, GA",71008,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,2,0.566667,3.529412
GA,"LEON FARMER & COMPANY, GA",71008,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,0,0.116667,0
GA,"LEON FARMER & COMPANY, GA",71008,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,0.066667,0
GA,"ATLANTA BEVERAGE CO, GA",81004,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,42,4.016667,10.456432
GA,"ATLANTA BEVERAGE CO, GA",81004,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,21,1.416667,14.823529
GA,"ATLANTA BEVERAGE CO, GA",81004,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,16,0.7,22.857143
GA,"ATLANTA BEVERAGE CO, GA",81004,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,14,-0.016667,-840
GA,"ATLANTA BEVERAGE CO, GA",81004,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,12,0,720
GA,"ATLANTA BEVERAGE CO, GA",81004,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,11,2.3,4.782609
GA,"ATLANTA BEVERAGE CO, GA",81004,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,10,0,600
GA,"ATLANTA BEVERAGE CO, GA",81004,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,10,1.116667,8.955224
GA,"ATLANTA BEVERAGE CO, GA",81004,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,5,0.016667,300
GA,"ATLANTA BEVERAGE CO, GA",81004,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,5,0.6,8.333333
GA,"ATLANTA BEVERAGE CO, GA",81004,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,5,0.033333,150
GA,"ATLANTA BEVERAGE CO, GA",81004,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,4,0.266667,15
GA,"ATLANTA BEVERAGE CO, GA",81004,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,4,2.116667,1.889764
GA,"ATLANTA BEVERAGE CO, GA",81004,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,3,1.55,1.935484
GA,"ATLANTA BEVERAGE CO, GA",81004,WW FREAK OF NAT 9% 1/2 BARREL SV,105I940,2,0,120
GA,"ATLANTA BEVERAGE CO, GA",81004,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,1,0.016667,60
GA,"ATLANTA BEVERAGE CO, GA",81004,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,1,0.033333,30
GA,"ATLANTA BEVERAGE CO, GA",81004,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,0.45,0
GA,"ATLANTA BEVERAGE CO, GA",81004,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,0,0.05,0
GA,"LEON FARMER & COMPANY, GA",71027,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,46,3.383333,13.596059
GA,"LEON FARMER & COMPANY, GA",71027,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,16,0.883333,18.113208
GA,"LEON FARMER & COMPANY, GA",71027,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,14,1.35,10.37037
GA,"LEON FARMER & COMPANY, GA",71027,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,14,1.166667,12
GA,"LEON FARMER & COMPANY, GA",71027,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,8,0.933333,8.571429
GA,"LEON FARMER & COMPANY, GA",71027,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,7,0.916667,7.636364
GA,"LEON FARMER & COMPANY, GA",71027,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,6,1.216667,4.931507
GA,"LEON FARMER & COMPANY, GA",71027,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,0.083333,0
GA,"LEON FARMER & COMPANY, GA",71027,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,0.05,0
GA,"LEON FARMER & COMPANY, GA",71027,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,0,0.283333,0
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,19,0.633333,30
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,17,0.983333,17.288136
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,17,1.05,16.190476
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,13,2.2,5.909091
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,8,0.066667,120
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,6,0.016667,360
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,3,1.266667,2.368421
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,3,1.266667,2.368421
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,1,0.116667,8.571429
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,1,0.5,2
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,1,0.05,20
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,0,0.266667,0
GA,"ATLANTA BEVERAGE CO-GRIFFIN, GA",91029,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,0.35,0
GA,"ALBANY BEVERAGE CO, GA",61003,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,21,0.233333,90
GA,"ALBANY BEVERAGE CO, GA",61003,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,17,0.2,85
GA,"ALBANY BEVERAGE CO, GA",61003,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,13,0.15,86.666667
GA,"ALBANY BEVERAGE CO, GA",61003,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,13,0.133333,97.5
GA,"ALBANY BEVERAGE CO, GA",61003,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,12,0.1,120
GA,"ALBANY BEVERAGE CO, GA",61003,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,2,0.083333,24
GA,"ALBANY BEVERAGE CO, GA",61003,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,1,0,60
GA,"ALBANY BEVERAGE CO, GA",61003,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,-1,0,-60
GA,"ALBANY BEVERAGE CO, GA",61003,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,-1,0.016667,-60
GA,"SOUTHERN CROWN PARTNERS LLC, GA",91094,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,23,1.166667,19.714286
GA,"SOUTHERN CROWN PARTNERS LLC, GA",91094,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,19,0.55,34.545455
GA,"SOUTHERN CROWN PARTNERS LLC, GA",91094,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,14,0.45,31.111111
GA,"SOUTHERN CROWN PARTNERS LLC, GA",91094,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,0,0.1,0
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21052,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,16,0.216667,73.846154
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21052,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,14,0.216667,64.615385
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21052,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,13,0.116667,111.428571
GA,"JOHNSON DISTRIBUTING CO, GA",31090,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,5,0.35,14.285714
GA,"JOHNSON DISTRIBUTING CO, GA",31090,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,3,0.166667,18
GA,"JOHNSON DISTRIBUTING CO, GA",31090,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,2,0,120
GA,"JOHNSON DISTRIBUTING CO, GA",31090,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,0,0.15,0
GA,"JOHNSON DISTRIBUTING CO, GA",31090,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,-1,0.116667,-8.571429
GA,"B & B BEVERAGE CO, GA","=""01015""",WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,4,0.35,11.428571
GA,"B & B BEVERAGE CO, GA","=""01015""",WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,1,0.283333,3.529412
GA,"B & B BEVERAGE CO, GA","=""01015""",WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,0,0.3,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,2,0.166667,12
GA,"LAGRANGE GROCERY CO, GA",81049,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,2,0.116667,17.142857
GA,"LAGRANGE GROCERY CO, GA",81049,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,0,0.25,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,0,0.116667,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,0,0.133333,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,0,0.716667,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,0,4.8,0
GA,"LAGRANGE GROCERY CO, GA",81049,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,0,0.3,0
GA,"SOUTHERN CROWN PARTNERS LLC, GA",61025,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,2,0.033333,60
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,1007,69.616667,14.464927
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,443,42.616667,10.394994
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,381,22.216667,17.149287
NC,"R H BARRINGER DIST CO INC, NC",63269,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,372,15.5,24
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,244,15.066667,16.19469
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,74,28.516667,2.594974
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,59,5.933333,9.94382
NC,"R H BARRINGER DIST CO INC, NC",63269,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,34,4.033333,8.429752
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,32,0.15,213.333333
NC,"R H BARRINGER DIST CO INC, NC",63269,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,31,0.5,62
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,18,2.983333,6.03352
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,9,4.983333,1.80602
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,7,0.116667,60
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,6,6.4,0.9375
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 1/2 BARREL SV,1059940,4,0.016667,240
NC,"R H BARRINGER DIST CO INC, NC",63269,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,3,0.283333,10.588235
NC,"R H BARRINGER DIST CO INC, NC",63269,WW WATERMELON B 5 % 1/2 BARREL SV,10JU940,3,0.083333,36
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,2,1.783333,1.121495
NC,"R H BARRINGER DIST CO INC, NC",63269,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,0,8.183333,0
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,1.983333,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,825,16.716667,49.351944
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,603,16.683333,36.143856
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,151,7.116667,21.217799
NC,"R H BARRINGER DIST CO INC, NC",53234,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,149,4.816667,30.934256
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,88,27.75,3.171171
NC,"R H BARRINGER DIST CO INC, NC",53234,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,58,4.75,12.210526
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,58,1.666667,34.8
NC,"R H BARRINGER DIST CO INC, NC",53234,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,49,0.466667,105
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,23,0.083333,276
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,13,0.016667,780
NC,"R H BARRINGER DIST CO INC, NC",53234,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,10,3.2,3.125
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,6,1,6
NC,"R H BARRINGER DIST CO INC, NC",53234,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,5,2.916667,1.714286
NC,"R H BARRINGER DIST CO INC, NC",53234,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,3,0.066667,45
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,1,2.1,0.47619
NC,"R H BARRINGER DIST CO INC, NC",53234,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,1,0.133333,7.5
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,1.183333,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,-1,1.7,-0.588235
NC,"R H BARRINGER DIST CO INC, NC",53234,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,-1,6.75,-0.148148
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,988,53.35,18.519213
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,258,10.866667,23.742331
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,189,27.366667,6.906212
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,123,27.883333,4.411237
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,104,7.533333,13.80531
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,84,5.35,15.700935
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,59,8,7.375
