Wholesaler States,Wholesalers,Wholesaler ID,PDCNs,PDCN Code,Current On Hand in Units,Daily Rate of Sales,Days on Hand
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,24,0.383333,62.608696
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,17,0.033333,510
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW FREAK OF NAT 9% 1/2 BARREL SV,105I940,16,-0.016667,-960
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,15,0.033333,450
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,15,3.583333,4.186047
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW BURST SERIES 5 % 1/2 BARREL SV,10JW940,11,0.05,220
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,10,0.25,40
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,10,0,600
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,1,-0.016667,-60
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,0,2.466667,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,314,18.8,16.702128
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,198,13.75,14.4
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,189,4.533333,41.691176
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,98,3.016667,32.486188
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,64,3.483333,18.373206
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,63,4.816667,13.079585
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,63,8.266667,7.620968
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,63,3.233333,19.484536
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,41,0.166667,246
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,26,-0.05,-520
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,21,0.866667,24.230769
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,21,0.466667,45
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,13,-0.066667,-195
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW LIEUT DANK 7 % 1/6 BARREL SV,1059970,9,-0.016667,-540
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,7,0.966667,7.241379
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,5,0.016667,300
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,5,0,300
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,2,0,120
NC,"ADAMS BEVERAGES OF NC LLC, NC",73291,WW APP SESSION 5 % 24/16 AL CAN,10EM16Z,0,0.783333,0
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,438,18.583333,23.569507
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,106,13.533333,7.832512
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,105,12.616667,8.322325
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,89,8.9,10
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,79,7.533333,10.486726
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,77,3.666667,21
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,35,2.65,13.207547
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,25,0.016667,1500
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,21,0.166667,126
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,17,1.216667,13.972603
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,8,0.15,53.333333
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW BURST SERIES 5 % 1/2 BARREL SV,10JW940,4,0.016667,240
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,3,1.116667,2.686567
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,2,1.8,1.111111
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,2,0,120
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,2,0.05,40
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,1,1.933333,0.517241
NC,"HARRIS BEVERAGES  LLC, NC",63236,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,1.35,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,273,16.683333,16.363636
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,173,17.883333,9.673812
NC,"R H BARRINGER DIST CO INC, NC",53234,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,145,4.6,31.521739
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,107,27.033333,3.958076
NC,"R H BARRINGER DIST CO INC, NC",53234,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,102,5.683333,17.947214
NC,"R H BARRINGER DIST CO INC, NC",53234,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,48,6.016667,7.977839
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,36,0.733333,49.090909
NC,"R H BARRINGER DIST CO INC, NC",53234,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,32,2.466667,12.972973
NC,"R H BARRINGER DIST CO INC, NC",53234,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,23,0.483333,47.586207
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,16,1.333333,12
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,16,7.233333,2.211982
NC,"R H BARRINGER DIST CO INC, NC",53234,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,7,-0.016667,-420
NC,"R H BARRINGER DIST CO INC, NC",53234,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,6,0.033333,180
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,1,1.633333,0.612245
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,1,1.7,0.588235
NC,"R H BARRINGER DIST CO INC, NC",53234,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,0.6,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,0,-0.05,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW LIEUT DANK 7 % 1/6 BARREL SV,1059970,0,-0.183333,0
NC,"R H BARRINGER DIST CO INC, NC",53234,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,-1,3,-0.333333
NC,"R H BARRINGER DIST CO INC, NC",53234,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,-5,0.083333,-60
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,253,6.85,36.934307
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,140,7.75,18.064516
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,111,2.483333,44.697987
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,76,1.883333,40.353982
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,74,1.716667,43.106796
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,46,0.333333,138
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW APP SESSION 5 % 24/16 AL CAN,10EM16Z,42,0.116667,360
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,41,2.533333,16.184211
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,30,1.716667,17.475728
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW LIEUT DANK 7 % 1/2 BARREL SV,1059940,3,0,180
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,2,0.066667,30
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,2,0.033333,60
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW SMASHVILLE 6 % 1/6 BARREL SV,108G970,1,0,60
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,1,0.1,10
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,0,0.816667,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,0,0.25,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW LIEUT DANK 7 % 1/6 BARREL SV,1059970,0,0.1,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,0,0.066667,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,0.2,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",43234,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,0,0.466667,0
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,192,22.283333,8.616305
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,189,32.75,5.770992
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,161,14.083333,11.431953
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,63,13.983333,4.505364
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,61,0.483333,126.206897
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,49,10.483333,4.674086
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,25,4.6,5.434783
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,9,5.8,1.551724
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW BURST SERIES 5 % 1/2 BARREL SV,10JW940,8,0.05,160
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,7,7.183333,0.974478
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,5,0.233333,21.428571
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW APP SESSION 5 % 1/6 BARREL SV,10EM970,5,0.083333,60
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,5,8.95,0.558659
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 24/16 AL CAN,101616Z,3,0.5,6
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW APP SESSION 5 % 1/2 BARREL SV,10EM940,2,0.016667,120
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,1,0.716667,1.395349
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,1,0.2,5
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,0,0.083333,0
NC,"SKYLAND DISTRIBUTING COMPANY, NC","=""03202""",WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,0,2.1,0
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,223,0.466667,477.857143
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,126,5.933333,21.235955
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,126,3.133333,40.212766
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,63,1.766667,35.660377
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,60,0.016667,3600
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,34,0.3,113.333333
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,28,0.416667,67.2
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,28,0.583333,48
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,20,0.05,400
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,14,0.366667,38.181818
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,12,-0.016667,-720
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,8,0.016667,480
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,6,0,360
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,6,0,360
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW FREAK OF NAT 9% 1/2 BARREL SV,105I940,3,0,180
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,2,0,120
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,1,0.316667,3.157895
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,0,0.75,0
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,0,1.183333,0
NC,"CITY BEVERAGE COMPANY INC, NC",73222,WW FREAK OF NAT 9% 24/12 NRLN 6/4 EM,105I64S,0,0.133333,0
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,314,14.283333,21.983664
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,77,12.716667,6.055046
NC,"R H BARRINGER DIST CO INC, NC",33245,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,35,2.366667,14.788732
NC,"R H BARRINGER DIST CO INC, NC",33245,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,19,0.95,20
NC,"R H BARRINGER DIST CO INC, NC",33245,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,15,1.85,8.108108
NC,"R H BARRINGER DIST CO INC, NC",33245,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,11,0.35,31.428571
NC,"R H BARRINGER DIST CO INC, NC",33245,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,10,1.283333,7.792208
NC,"R H BARRINGER DIST CO INC, NC",33245,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,9,9.35,0.962567
NC,"R H BARRINGER DIST CO INC, NC",33245,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,8,0.333333,24
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,5,6.1,0.819672
NC,"R H BARRINGER DIST CO INC, NC",33245,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,5,0.016667,300
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,3,0.133333,22.5
NC,"R H BARRINGER DIST CO INC, NC",33245,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,1,1.25,0.8
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,0,0.816667,0
NC,"R H BARRINGER DIST CO INC, NC",33245,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,0,1,0
NC,"R H BARRINGER DIST CO INC, NC",33245,WW COAST LOVE 6 % 1/6 BARREL SV,10KS970,0,-0.05,0
NC,"R H BARRINGER DIST CO INC, NC",33245,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,0.083333,0
NC,"R H BARRINGER DIST CO INC, NC",53296,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,150,13.816667,10.856454
NC,"R H BARRINGER DIST CO INC, NC",53296,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,73,1.783333,40.934579
NC,"R H BARRINGER DIST CO INC, NC",53296,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,68,12.533333,5.425532
NC,"R H BARRINGER DIST CO INC, NC",53296,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,44,1.733333,25.384615
NC,"R H BARRINGER DIST CO INC, NC",53296,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,38,8.516667,4.46184
NC,"R H BARRINGER DIST CO INC, NC",53296,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,29,3.766667,7.699115
NC,"R H BARRINGER DIST CO INC, NC",53296,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,24,1.45,16.551724
NC,"R H BARRINGER DIST CO INC, NC",53296,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,14,0.7,20
NC,"R H BARRINGER DIST CO INC, NC",53296,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,12,2.216667,5.413534
NC,"R H BARRINGER DIST CO INC, NC",53296,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,11,0.4,27.5
NC,"R H BARRINGER DIST CO INC, NC",53296,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,6,0,360
NC,"R H BARRINGER DIST CO INC, NC",53296,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,6,0.433333,13.846154
NC,"R H BARRINGER DIST CO INC, NC",53296,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,2,1.116667,1.791045
